Date,MWh,weekday,month
2024-02-12,408515,2,2
2024-02-11,375216,1,2
2024-02-10,366403,7,2
2024-02-09,390065,6,2
2024-02-08,403921,5,2
2024-02-07,419883,4,2
2024-02-06,423078,3,2
2024-02-05,418621,2,2
2024-02-04,388873,1,2
2024-02-03,394338,7,2
2024-02-02,422726,6,2
2024-02-01,427766,5,2
2024-01-31,435711,4,1
2024-01-30,442912,3,1
2024-01-29,438516,2,1
2024-01-28,404502,1,1
2024-01-27,391839,7,1
2024-01-26,415228,6,1
2024-01-25,411051,5,1
2024-01-24,434340,4,1
2024-01-23,446742,3,1
2024-01-22,468156,2,1
2024-01-21,463436,1,1
2024-01-20,473397,7,1
2024-01-19,475271,6,1
2024-01-18,483811,5,1
2024-01-17,461496,4,1
2024-01-16,470943,3,1
2024-01-15,450200,2,1
2024-01-14,411754,1,1
2024-01-13,389538,7,1
2024-01-12,406979,6,1
2024-01-11,416354,5,1
2024-01-10,410623,4,1
2024-01-09,435703,3,1
2024-01-08,429591,2,1
2024-01-07,418058,1,1
2024-01-06,426204,7,1
2024-01-05,443452,6,1
2024-01-04,430238,5,1
2024-01-03,427709,4,1
2024-01-02,423513,3,1
2024-01-01,387760,2,1
2023-12-31,390049,1,12
2023-12-30,382382,7,12
2023-12-29,384132,6,12
2023-12-28,389848,5,12
2023-12-27,394055,4,12
2023-12-26,391138,3,12
2023-12-25,360649,2,12
2023-12-24,384835,1,12
2023-12-23,411441,7,12
2023-12-22,436126,6,12
2023-12-21,429908,5,12
2023-12-20,435155,4,12
2023-12-19,428070,3,12
2023-12-18,403894,2,12
2023-12-17,380944,1,12
2023-12-16,376701,7,12
2023-12-15,406664,6,12
2023-12-14,429718,5,12
2023-12-13,422306,4,12
2023-12-12,416767,3,12
2023-12-11,419515,2,12
2023-12-10,376182,1,12
2023-12-09,373711,7,12
2023-12-08,412205,6,12
2023-12-07,442171,5,12
2023-12-06,431962,4,12
2023-12-05,420938,3,12
2023-12-04,403910,2,12
2023-12-03,381390,1,12
2023-12-02,378264,7,12
2023-12-01,410305,6,12
2023-11-30,414521,5,11
2023-11-29,441816,4,11
2023-11-28,431182,3,11
2023-11-27,402302,2,11
2023-11-26,381840,1,11
2023-11-25,385287,7,11
2023-11-24,374717,6,11
2023-11-23,357208,5,11
2023-11-22,399455,4,11
2023-11-21,422208,3,11
2023-11-20,398738,2,11
2023-11-19,361956,1,11
2023-11-18,353161,7,11
2023-11-17,376382,6,11
2023-11-16,379487,5,11
2023-11-15,390690,4,11
2023-11-14,397633,3,11
2023-11-13,402867,2,11
2023-11-12,369083,1,11
2023-11-11,363503,7,11
2023-11-10,386341,6,11
2023-11-09,393383,5,11
2023-11-08,383652,4,11
2023-11-07,377906,3,11
2023-11-06,380687,2,11
2023-11-05,356806,1,11
2023-11-04,353806,7,11
2023-11-03,376754,6,11
2023-11-02,393357,5,11
2023-11-01,391850,4,11
2023-10-31,376276,3,10
2023-10-30,381897,2,10
2023-10-29,350128,1,10
2023-10-28,354555,7,10
2023-10-27,372224,6,10
2023-10-26,372609,5,10
2023-10-25,368089,4,10
2023-10-24,367799,3,10
2023-10-23,364232,2,10
2023-10-22,341587,1,10
2023-10-21,347420,7,10
2023-10-20,372367,6,10
2023-10-19,362798,5,10
2023-10-18,370005,4,10
2023-10-17,367636,3,10
2023-10-16,365421,2,10
2023-10-15,336784,1,10
2023-10-14,347869,7,10
2023-10-13,354007,6,10
2023-10-12,360176,5,10
2023-10-11,364173,4,10
2023-10-10,362268,3,10
2023-10-09,352285,2,10
2023-10-08,324694,1,10
2023-10-07,362531,7,10
2023-10-06,409244,6,10
2023-10-05,407490,5,10
2023-10-04,421794,4,10
2023-10-03,398934,3,10
2023-10-02,386038,2,10
2023-10-01,342239,1,10
2023-09-30,343517,7,9
2023-09-29,371057,6,9
2023-09-28,358569,5,9
2023-09-27,351547,4,9
2023-09-26,362953,3,9
2023-09-25,369004,2,9
2023-09-24,347665,1,9
2023-09-23,347082,7,9
2023-09-22,368390,6,9
2023-09-21,371396,5,9
2023-09-20,372949,4,9
2023-09-19,379157,3,9
2023-09-18,401057,2,9
2023-09-17,356750,1,9
2023-09-16,347287,7,9
2023-09-15,371734,6,9
2023-09-14,416021,5,9
2023-09-13,462646,4,9
2023-09-12,469119,3,9
2023-09-11,480290,2,9
2023-09-10,450864,1,9
2023-09-09,484367,7,9
2023-09-08,531312,6,9
2023-09-07,583530,5,9
2023-09-06,590859,4,9
2023-09-05,567735,3,9
2023-09-04,495882,2,9
2023-09-03,438201,1,9
2023-09-02,379217,7,9
2023-09-01,390399,6,9
2023-08-31,404950,5,8
2023-08-30,459840,4,8
2023-08-29,459067,3,8
2023-08-28,444158,2,8
2023-08-27,419960,1,8
2023-08-26,444657,7,8
2023-08-25,452775,6,8
2023-08-24,430894,5,8
2023-08-23,424054,4,8
2023-08-22,440861,3,8
2023-08-21,495605,2,8
2023-08-20,409987,1,8
2023-08-19,382469,7,8
