,period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
174,2024-10-15,NY,New York,D,Demand,Eastern,Eastern,370140,megawatthours
175,2024-10-14,NY,New York,D,Demand,Eastern,Eastern,373774,megawatthours
176,2024-10-13,NY,New York,D,Demand,Eastern,Eastern,349858,megawatthours
177,2024-10-12,NY,New York,D,Demand,Eastern,Eastern,327886,megawatthours
178,2024-10-11,NY,New York,D,Demand,Eastern,Eastern,354992,megawatthours
179,2024-10-10,NY,New York,D,Demand,Eastern,Eastern,360125,megawatthours
180,2024-10-09,NY,New York,D,Demand,Eastern,Eastern,328198,megawatthours
181,2024-10-08,NY,New York,D,Demand,Eastern,Eastern,358371,megawatthours
182,2024-10-07,NY,New York,D,Demand,Eastern,Eastern,375050,megawatthours
183,2024-10-06,NY,New York,D,Demand,Eastern,Eastern,337242,megawatthours
184,2024-10-05,NY,New York,D,Demand,Eastern,Eastern,346119,megawatthours
185,2024-10-04,NY,New York,D,Demand,Eastern,Eastern,370991,megawatthours
186,2024-10-03,NY,New York,D,Demand,Eastern,Eastern,369088,megawatthours
187,2024-10-02,NY,New York,D,Demand,Eastern,Eastern,374092,megawatthours
188,2024-10-01,NY,New York,D,Demand,Eastern,Eastern,378816,megawatthours
189,2024-09-30,NY,New York,D,Demand,Eastern,Eastern,380784,megawatthours
190,2024-09-29,NY,New York,D,Demand,Eastern,Eastern,360454,megawatthours
191,2024-09-28,NY,New York,D,Demand,Eastern,Eastern,368122,megawatthours
192,2024-09-27,NY,New York,D,Demand,Eastern,Eastern,393654,megawatthours
193,2024-09-26,NY,New York,D,Demand,Eastern,Eastern,406784,megawatthours
194,2024-09-25,NY,New York,D,Demand,Eastern,Eastern,384115,megawatthours
195,2024-09-24,NY,New York,D,Demand,Eastern,Eastern,376808,megawatthours
196,2024-09-23,NY,New York,D,Demand,Eastern,Eastern,389014,megawatthours
197,2024-09-22,NY,New York,D,Demand,Eastern,Eastern,372482,megawatthours
198,2024-09-21,NY,New York,D,Demand,Eastern,Eastern,387404,megawatthours
199,2024-09-20,NY,New York,D,Demand,Eastern,Eastern,429269,megawatthours
200,2024-09-19,NY,New York,D,Demand,Eastern,Eastern,434128,megawatthours
201,2024-09-18,NY,New York,D,Demand,Eastern,Eastern,421286,megawatthours
202,2024-09-17,NY,New York,D,Demand,Eastern,Eastern,422263,megawatthours
203,2024-09-16,NY,New York,D,Demand,Eastern,Eastern,415597,megawatthours
204,2024-09-15,NY,New York,D,Demand,Eastern,Eastern,404636,megawatthours
205,2024-09-14,NY,New York,D,Demand,Eastern,Eastern,411903,megawatthours
206,2024-09-13,NY,New York,D,Demand,Eastern,Eastern,420936,megawatthours
207,2024-09-12,NY,New York,D,Demand,Eastern,Eastern,408416,megawatthours
208,2024-09-11,NY,New York,D,Demand,Eastern,Eastern,389353,megawatthours
209,2024-09-10,NY,New York,D,Demand,Eastern,Eastern,388966,megawatthours
210,2024-09-09,NY,New York,D,Demand,Eastern,Eastern,377879,megawatthours
211,2024-09-08,NY,New York,D,Demand,Eastern,Eastern,338759,megawatthours
212,2024-09-07,NY,New York,D,Demand,Eastern,Eastern,387435,megawatthours
213,2024-09-06,NY,New York,D,Demand,Eastern,Eastern,415105,megawatthours
214,2024-09-05,NY,New York,D,Demand,Eastern,Eastern,401446,megawatthours
215,2024-09-04,NY,New York,D,Demand,Eastern,Eastern,392797,megawatthours
216,2024-09-03,NY,New York,D,Demand,Eastern,Eastern,382423,megawatthours
217,2024-09-02,NY,New York,D,Demand,Eastern,Eastern,394828,megawatthours
218,2024-09-01,NY,New York,D,Demand,Eastern,Eastern,436966,megawatthours
219,2024-08-31,NY,New York,D,Demand,Eastern,Eastern,429079,megawatthours
220,2024-08-30,NY,New York,D,Demand,Eastern,Eastern,437924,megawatthours
221,2024-08-29,NY,New York,D,Demand,Eastern,Eastern,475354,megawatthours
