Date,MWh,Min_temp,Max_temp,Avg_temp
2020-09-02,479008,22.7,24.9,23.799999999999997
2020-09-03,488441,24.7,29.4,27.049999999999997
2020-09-04,474323,24.0,28.6,26.3
2020-09-05,397321,20.8,25.5,23.15
2020-09-06,395508,21.3,26.4,23.85
2020-09-07,416752,21.1,24.8,22.950000000000003
2020-09-08,472367,21.7,26.8,24.25
2020-09-09,479793,22.3,26.3,24.3
2020-09-10,498260,23.9,27.0,25.45
2020-09-11,442151,21.8,24.4,23.1
2020-09-12,368403,18.0,20.9,19.45
2020-09-13,381824,20.0,22.9,21.45
2020-09-14,409808,20.7,24.7,22.7
2020-09-15,368274,15.0,18.8,16.9
2020-09-16,374388,17.0,22.0,19.5
2020-09-17,396564,19.1,22.1,20.6
2020-09-18,377325,17.1,19.7,18.4
2020-09-19,330142,12.9,16.8,14.850000000000001
2020-09-20,326551,12.6,16.5,14.55
2020-09-21,359453,12.8,18.2,15.5
2020-09-22,362793,14.7,22.0,18.35
2020-09-23,378242,18.4,25.9,22.15
2020-09-24,388222,18.5,24.4,21.45
2020-09-25,395374,18.4,24.6,21.5
2020-09-26,374133,18.8,22.5,20.65
2020-09-27,394631,20.9,25.1,23.0
2020-09-28,435307,21.2,23.7,22.45
2020-09-29,422852,20.6,23.5,22.05
2020-09-30,390493,18.8,21.1,19.950000000000003
2020-10-01,377009,17.7,21.9,19.799999999999997
2020-10-02,369260,15.0,18.1,16.55
2020-10-03,338230,13.6,18.4,16.0
2020-10-04,337140,14.0,18.5,16.25
2020-10-05,369120,15.0,19.5,17.25
2020-10-06,369584,16.1,19.9,18.0
2020-10-07,373802,17.8,24.2,21.0
2020-10-08,360432,14.2,17.6,15.9
2020-10-09,360226,14.1,19.3,16.7
2020-10-10,346165,18.1,23.6,20.85
2020-10-11,337765,17.2,19.1,18.15
2020-10-12,366810,12.3,14.5,13.4
2020-10-13,372711,13.8,15.0,14.4
2020-10-14,364062,14.3,20.3,17.3
2020-10-15,371138,16.2,22.0,19.1
2020-10-16,376725,13.8,17.1,15.450000000000001
2020-10-17,341083,10.7,15.1,12.899999999999999
2020-10-18,340508,12.0,16.7,14.35
2020-10-19,371610,14.2,17.6,15.9
2020-10-20,378932,16.4,21.3,18.85
2020-10-21,380997,16.6,19.7,18.15
2020-10-22,384146,18.1,20.8,19.450000000000003
2020-10-23,380120,17.4,19.9,18.65
2020-10-24,351243,16.3,21.0,18.65
2020-10-25,343680,9.1,10.7,9.899999999999999
2020-10-26,382988,13.5,16.5,15.0
2020-10-27,378156,13.8,15.3,14.55
2020-10-28,382536,13.0,16.2,14.6
2020-10-29,390508,10.7,12.3,11.5
2020-10-30,397989,5.3,8.2,6.75
2020-10-31,368979,4.0,6.9,5.45
2020-11-01,383759,9.2,13.7,11.45
2020-11-02,404530,4.7,6.4,5.550000000000001
2020-11-03,398826,7.7,12.1,9.9
2020-11-04,385107,9.4,16.5,12.95
2020-11-05,374554,12.0,18.7,15.35
2020-11-06,367269,13.6,20.2,16.9
2020-11-07,341890,14.1,21.6,17.85
2020-11-08,336662,13.4,21.5,17.45
2020-11-09,368160,13.2,21.4,17.299999999999997
2020-11-10,372050,15.4,21.6,18.5
2020-11-11,378257,17.7,21.7,19.7
2020-11-12,381135,13.1,18.3,15.7
2020-11-13,386797,8.7,11.0,9.85
2020-11-14,359465,7.3,11.1,9.2
2020-11-15,360657,9.6,17.2,13.399999999999999
2020-11-16,383362,8.6,11.2,9.899999999999999
2020-11-17,401069,5.0,8.5,6.75
2020-11-18,417364,0.5,1.9,1.2
2020-11-19,407893,2.4,7.1,4.75
2020-11-20,377500,9.1,14.6,11.85
2020-11-21,354913,10.8,15.5,13.15
2020-11-22,368526,8.0,12.5,10.25
2020-11-23,390956,10.1,13.8,11.95
2020-11-24,396220,5.2,8.3,6.75
2020-11-25,392693,7.7,11.6,9.65
2020-11-26,354877,12.7,17.0,14.85
2020-11-27,353285,10.3,15.8,13.05
2020-11-28,356781,8.4,12.9,10.65
2020-11-29,357775,5.8,10.8,8.3
2020-11-30,397672,12.0,16.4,14.2
2020-12-01,391636,9.2,14.5,11.85
2020-12-02,413585,3.7,6.8,5.25
2020-12-03,405187,4.4,9.6,7.0
2020-12-04,400374,7.0,11.3,9.15
2020-12-05,388790,5.7,6.8,6.25
2020-12-06,393226,2.2,3.7,2.95
2020-12-07,427538,0.7,4.1,2.4
2020-12-08,439286,0.2,3.4,1.8
2020-12-09,437546,0.7,3.9,2.3
2020-12-10,417418,4.0,9.2,6.6
2020-12-11,405539,4.4,11.0,7.7
2020-12-12,384119,7.7,12.5,10.1
2020-12-13,370036,9.6,14.6,12.1
2020-12-14,421772,3.1,4.4,3.75
2020-12-15,433832,0.6,3.6,2.1
2020-12-16,462739,-2.0,0.5,-0.75
2020-12-17,456506,-2.6,0.4,-1.1
2020-12-18,459992,-5.0,-1.9,-3.45
2020-12-19,440992,-6.4,-1.8,-4.1000000000000005
2020-12-20,421354,-1.3,3.1,0.9
2020-12-21,429495,0.9,3.1,2.0
2020-12-22,425866,1.9,5.5,3.7
2020-12-23,423610,1.1,3.1,2.1
2020-12-24,395338,10.2,14.3,12.25
2020-12-25,374831,9.0,14.5,11.75
2020-12-26,414776,-2.9,-0.3,-1.5999999999999999
2020-12-27,409582,-1.7,2.6,0.45000000000000007
2020-12-28,418723,4.2,9.3,6.75
2020-12-29,425497,1.1,3.5,2.3
2020-12-30,431655,0.2,3.8,2.0
2020-12-31,409804,5.7,8.4,7.050000000000001
2021-01-01,394458,0.8,3.5,2.15
2021-01-02,386757,5.2,9.8,7.5
2021-01-03,400773,1.4,3.5,2.45
2021-01-04,419854,2.7,6.5,4.6
2021-01-05,421016,2.4,4.9,3.6500000000000004
2021-01-06,425229,1.6,4.7,3.1500000000000004
2021-01-07,429691,1.0,5.9,3.45
2021-01-08,437653,-0.3,5.2,2.45
2021-01-09,417297,-0.9,1.9,0.49999999999999994
2021-01-10,407166,-0.0,5.2,2.6
2021-01-11,439489,-1.8,2.1,0.15000000000000002
2021-01-12,430982,0.2,5.8,3.0
2021-01-13,428535,0.5,6.1,3.3
2021-01-14,417053,2.9,8.9,5.9
2021-01-15,418092,3.4,7.7,5.55
2021-01-16,391838,5.5,8.1,6.8
2021-01-17,388142,3.3,7.4,5.35
2021-01-18,409343,2.9,6.6,4.75
2021-01-19,427503,1.3,4.7,3.0
2021-01-20,434838,-0.1,4.4,2.1500000000000004
